loss_generator,loss_discriminator
0.040252,0.469271
0.044777,0.581710
0.047793,0.033514
0.040736,0.200668
0.041555,1.497950
0.048801,0.131466
0.041751,0.100685
0.044555,0.107793
0.047449,0.128611
0.045213,0.382307
0.039093,0.266118
0.045009,0.058845
0.046747,0.068275
0.040832,0.750318
0.050257,0.074118
0.050211,0.019010
0.051627,0.020951
0.042772,0.097473
0.044850,0.134956
0.049904,0.306381
0.048808,0.085411
0.053591,0.007812
0.043722,0.071439
0.056537,0.011741
0.038720,0.061440
0.046206,0.033435
0.049446,0.017704
0.046075,0.079771
0.046609,0.338859
0.039261,0.600578
0.040381,0.103492
0.039968,0.116751
0.029667,2.567394
0.035613,0.406473
0.044066,2.616014
0.044421,1.135975
0.060300,0.009993
0.045278,1.789112
0.050906,0.090937
0.045343,1.219324
0.049225,0.049199
0.036800,0.059558
0.036978,0.111159
0.039936,0.277209
0.035659,0.778522
0.037475,0.589584
0.040947,0.099367
0.045145,0.021378
0.038571,0.045765
0.034396,0.330630
0.045772,0.010921
0.053624,0.004514
0.041023,0.070871
0.057924,0.012240
0.046827,0.136370
0.036273,0.121440
0.043338,0.008494
0.037098,0.017675
0.048411,0.012468
0.031295,0.035058
0.041180,0.045646
0.043817,0.112435
0.033551,0.067786
0.033175,0.106159
0.042645,0.258165
0.050190,0.005448
0.045158,0.011079
0.047470,0.005367
0.051219,0.034833
0.042248,0.019148
0.041550,0.091725
0.049202,0.010351
0.043574,0.176595
0.043325,0.006120
0.041579,0.021662
0.043700,0.008753
0.039675,0.006746
0.033172,0.018560
0.042904,0.012198
0.042886,0.056412
0.034511,0.014945
0.034599,0.461165
0.039528,0.043837
0.035726,0.151348
0.043674,0.047065
0.046549,0.007600
0.056835,0.004550
0.043851,0.577553
0.045280,0.235279
0.044312,0.101740
0.038547,0.546878
0.032636,2.499282
0.039843,0.818383
0.050803,0.275295
0.045862,0.035537
0.044068,0.120007
0.062084,0.008581
0.047827,0.777373
0.052517,0.006809
0.041975,0.271323
0.039520,0.072954
0.048871,2.160108
0.049865,0.159435
0.048864,0.057239
0.049512,0.213951
0.045846,0.040474
0.044589,0.795501
0.034584,0.173992
0.041553,0.434728
0.039684,0.059762
0.044325,0.031039
0.041518,0.168460
0.046123,0.033372
0.045653,0.017058
0.051362,0.013155
0.041532,0.115999
0.041531,0.182433
0.039767,0.224946
0.036801,0.131770
0.042803,0.161340
0.042358,0.666627
0.039453,0.050144
0.048793,0.033425
0.038068,1.087917
0.041326,0.041511
0.048647,0.011091
0.039340,0.306971
0.046811,0.022219
0.043081,0.146968
0.038408,0.032269
0.037875,0.192213
0.037505,0.117600
0.045449,0.029001
0.040612,0.110724
0.036982,0.082865
0.040385,0.042642
0.035346,0.362662
0.040193,0.038152
0.050841,0.028468
0.044037,0.033321
0.045337,0.008585
0.041601,0.065474
0.045024,0.136299
0.048489,0.043792
0.042112,0.024428
0.049045,0.025392
0.038085,0.098288
0.044941,0.020255
0.041124,0.327600
0.043711,0.123513
0.043709,0.256769
0.044161,0.318211
0.036479,0.195325
0.047853,0.165777
0.042568,0.855039
0.055344,0.200954
0.052386,0.744886
0.044892,4.827252
0.041019,0.119027
0.048281,0.550251
0.037702,1.994834
0.052353,0.023921
0.040387,0.117452
0.045823,0.004863
0.050766,0.003723
0.046664,0.210796
0.047013,0.090184
0.045162,0.067870
0.043131,0.020151
0.042415,0.048165
0.044569,0.010026
0.049509,0.029229
0.043074,0.002875
0.043481,0.005570
0.043064,0.007254
0.045547,0.003056
0.039387,0.005555
0.038579,0.010360
0.046549,0.038496
0.043251,0.026434
0.036322,0.039076
0.039407,0.028083
0.038144,0.018354
0.042326,0.056795
0.038026,0.038882
0.037346,0.111650
0.042204,0.145867
0.041534,0.079956
0.042629,0.152864
0.037835,0.132752
0.041908,0.027384
0.040092,0.352240
0.040086,0.580731
0.037202,0.778509
0.042180,0.318909
0.044794,0.138424
0.039598,0.040778
0.048708,0.304933
0.037832,0.026437
0.047015,0.069046
0.042772,0.072633
0.051517,0.016460
0.046078,0.008610
0.048915,0.008717
0.048552,0.005767
0.045142,0.045128
0.041131,0.015465
0.040556,0.007564
0.049605,0.002284
0.051132,0.001520
0.046092,0.015034
0.043939,0.001610
0.044128,0.006309
0.038744,0.005103
0.040861,0.012914
0.047273,0.015457
0.039302,0.012958
0.040724,0.021741
0.042898,0.029337
0.038595,0.034008
0.045196,0.009796
0.037435,0.026737
0.039499,0.027871
0.048313,0.004351
0.047669,0.182311
0.046079,0.016804
0.046951,0.035266
0.045533,0.032165
0.052922,0.010781
0.036500,0.286828
0.042897,0.007387
0.048031,1.447836
0.052111,0.031954
0.048672,5.769617
0.054693,0.020979
0.036309,1.114087
0.037408,0.006577
0.041321,4.195995
0.043702,0.599116
0.042051,0.136372
0.045935,0.037765
0.040801,0.092301
0.050902,0.004031
0.040504,0.063509
0.041198,0.412600
0.045205,0.019932
0.048499,0.028886
0.041917,0.165095
0.039919,0.104327
0.051137,0.021961
0.039156,0.105256
0.041750,0.073164
0.043761,0.312021
0.032530,0.262979
0.035295,0.089826
0.039349,0.956295
0.052392,0.019218
0.046455,0.573641
0.050252,0.044463
0.036907,1.337982
0.046806,0.074865
0.035754,0.047473
0.041283,0.172352
0.038097,0.061767
0.036310,0.441065
0.035528,0.070805
0.034194,0.112062
0.036933,0.036595
0.039666,0.017716
0.040747,0.020299
0.034641,0.260803
0.052077,0.005156
0.046805,0.011291
0.040315,0.016743
0.041570,0.010997
0.038104,0.010431
0.042813,0.015947
0.039437,0.023059
0.045168,0.035582
0.036256,0.226221
0.037712,0.017202
0.041724,0.007429
0.040967,0.026471
0.049033,0.040057
0.034016,0.143625
0.042249,0.127260
0.050625,0.021685
0.033672,0.110035
0.037964,0.071925
0.039342,0.081046
0.045082,0.077616
0.047308,0.056668
0.037621,0.151856
0.044711,0.308097
0.048013,0.225691
0.034927,2.351136
0.044344,0.655392
0.032651,2.550793
0.040296,1.408074
0.057884,0.021820
0.046643,3.018496
0.045312,2.474464
0.041107,0.394176
0.036078,0.071721
0.044602,1.057916
0.041060,1.616319
0.038690,0.199081
0.042929,0.170220
0.038795,0.024063
